web-scraper-order;web-scraper-start-url;Adresse;Art;Datum;Preis;Preis2
1671561789-2;https://www.benzin-preis.ch/suche?next=2640;"Alpina Tankstelle

Dorfstrasse 42, 7563 Samnaun Dorf";Bleifrei;21.09.2020;1,140 sFr;1,640 sFr
1671561791-3;https://www.benzin-preis.ch/suche?next=2639;"Tamoil

Gsteigstr. 174, 3785 Gsteig b. Gstaad";Bleifrei;04.07.2022;2,230 sFr;1,870 sFr
1671561794-4;https://www.benzin-preis.ch/suche?next=2638;"Agrola

Kantonsstr. 50, 3930 Eyholz";Bleifrei;04.07.2022;2,230 sFr;1,870 sFr
1671561796-5;https://www.benzin-preis.ch/suche?next=2637;"Garage Blatter AG

Ennet Brücke 7, 3930 Visp";Bleifrei;04.07.2022;2,230 sFr;1,870 sFr
1671561798-6;https://www.benzin-preis.ch/suche?next=2636;"Garage Gasparini

Veia Granda, 7440 Andeer";Bleifrei;11.07.2022;2,230 sFr;1,930 sFr
1671561801-7;https://www.benzin-preis.ch/suche?next=2635;"Mini Prix

Av. de Mategnin 16, 1217 Meyrin";Bleifrei;28.05.2022;2,230 sFr;1,990 sFr
1671561803-8;https://www.benzin-preis.ch/suche?next=2634;"BP

Tösstalstr. 111, 8493 Saland";Bleifrei;16.07.2022;2,230 sFr;1,930 sFr
1671561805-9;https://www.benzin-preis.ch/suche?next=2633;"eni - Castasegna Ovest

Farzett, 7608 Castasegna";Bleifrei;11.07.2022;2,230 sFr;1,930 sFr
1671561808-10;https://www.benzin-preis.ch/suche?next=2632;"Garage Togra

Mettlenstr. 22, 8488 Turbenthal";Bleifrei;16.07.2022;2,229 sFr;1,929 sFr
1671561810-11;https://www.benzin-preis.ch/suche?next=2631;"Coop Pronto

Kantonsstr. 99, 3952 Susten";Bleifrei;04.07.2022;2,220 sFr;1,860 sFr
1671561812-12;https://www.benzin-preis.ch/suche?next=2630;"BP

Grüningerstr. 80, 8624 Grüt (Gossau ZH)";Bleifrei;03.08.2022;2,220 sFr;1,950 sFr
1671561814-13;https://www.benzin-preis.ch/suche?next=2629;"Agip

Kantonststr., 3930 Eyholz";Bleifrei;04.07.2022;2,220 sFr;1,860 sFr
1671561817-14;https://www.benzin-preis.ch/suche?next=2628;"Socar Stampa

Strada Principale, 7605 Stampa";Bleifrei;11.07.2022;2,220 sFr;1,920 sFr
1671561819-15;https://www.benzin-preis.ch/suche?next=2627;"Freie Tankstelle Avers

Beim Volg, 7447 Cresta (Avers)";Bleifrei;27.06.2022;2,220 sFr;1,860 sFr
1671561822-16;https://www.benzin-preis.ch/suche?next=2626;"Obere Au Garage AG

Kalchbühlstr. 12, 7000 Chur";Bleifrei;18.07.2022;2,219 sFr;1,919 sFr
1671561825-17;https://www.benzin-preis.ch/suche?next=2625;"Agrola

Simmentalstr., 3763 Därstetten";Bleifrei;04.07.2022;2,210 sFr;1,850 sFr
1671561827-18;https://www.benzin-preis.ch/suche?next=2624;"Coop Pronto

Thunstrasse 18, 3770 Zweisimmen";Bleifrei;04.07.2022;2,210 sFr;1,850 sFr
1671561828-19;https://www.benzin-preis.ch/suche?next=2623;"Migrol

Thunstrasse 16, 3770 Zweisimmen";Bleifrei;04.07.2022;2,210 sFr;1,850 sFr
1671561830-20;https://www.benzin-preis.ch/suche?next=2622;"Landi

Thunstrasse 29H, 3770 Zweisimmen";Bleifrei;04.07.2022;2,210 sFr;1,850 sFr
1671561833-21;https://www.benzin-preis.ch/suche?next=2621;"Tamoil

Kantonsstr. 73, 3930 Visp";Bleifrei;04.07.2022;2,210 sFr;1,850 sFr
1671561834-22;https://www.benzin-preis.ch/suche?next=2620;"OIL!

Mägenwilerstr. 8, 5504 Othmarsingen";Bleifrei;09.03.2022;2,200 sFr;1,910 sFr
1671561836-23;https://www.benzin-preis.ch/suche?next=2619;"BP Rheintal

Autobahn A13, 9470 Buchs SG";Bleifrei;14.08.2022;2,200 sFr;1,960 sFr
1671561838-24;https://www.benzin-preis.ch/suche?next=2618;"Ruedi Rüssel

Gotthardstr. , 6484 Wassen UR";Bleifrei;27.05.2022;2,200 sFr;1,960 sFr
1671561840-25;https://www.benzin-preis.ch/suche?next=2617;"Ruedi Rüssel

Thunstr. 7, 3770 Zweisimmen";Bleifrei;04.07.2022;2,200 sFr;1,840 sFr
1671561842-26;https://www.benzin-preis.ch/suche?next=2616;"Shell

Kantonsstr. 34, 3930 Visp";Bleifrei;04.07.2022;2,200 sFr;1,840 sFr
1671561845-27;https://www.benzin-preis.ch/suche?next=2615;"Tamoil

Chemin du Pont de la Fin, Relais du Salève 1, 1257 Croix-de-Rozon";Bleifrei;16.05.2022;2,200 sFr;2,010 sFr
1671561847-28;https://www.benzin-preis.ch/suche?next=2614;"Tamoil

Rte d'Annecy 223, 1257 Croix-de-Rozon";Bleifrei;16.05.2022;2,200 sFr;2,010 sFr
1671561849-29;https://www.benzin-preis.ch/suche?next=2613;"BP

Rte de Saint-Julien 70, 1228 Lancy";Bleifrei;16.05.2022;2,200 sFr;2,010 sFr
1671561851-30;https://www.benzin-preis.ch/suche?next=2612;"Agrola

Hauptstr. 7, 8363 Bichelsee";Bleifrei;16.07.2022;2,195 sFr;1,895 sFr
1671561853-31;https://www.benzin-preis.ch/suche?next=2611;"Agrola

Bahnhofstr. 50, 8360 Eschlikon TG";Bleifrei;16.07.2022;2,195 sFr;1,895 sFr
1671561855-32;https://www.benzin-preis.ch/suche?next=2610;"Coop

Pantenweg 2 , 7430 Thusis";Bleifrei;11.07.2022;2,190 sFr;1,890 sFr
1671561857-33;https://www.benzin-preis.ch/suche?next=2609;"Benzin Discount

Saanenstrasse, 3770 Zweisimmen";Bleifrei;04.07.2022;2,190 sFr;1,830 sFr
1671561859-34;https://www.benzin-preis.ch/suche?next=2608;"BP

Isikerstr. 2, 8335 Hittnau";Bleifrei;16.07.2022;2,190 sFr;1,890 sFr
1671561861-35;https://www.benzin-preis.ch/suche?next=2607;"Mattli AG

Unterdorf, 6484 Wassen UR";Bleifrei;27.05.2022;2,190 sFr;1,950 sFr
1671561863-36;https://www.benzin-preis.ch/suche?next=2606;"Tamoil

Rte de Saint-Julien 102, 1228 Plan-les-Ouates";Bleifrei;01.05.2022;2,190 sFr;2,080 sFr
1671561865-37;https://www.benzin-preis.ch/suche?next=2605;"Migrol

Winterthurerstr. 7 , 8360 Eschlikon TG";Bleifrei;16.07.2022;2,190 sFr;1,890 sFr
1671561867-38;https://www.benzin-preis.ch/suche?next=2604;"Migrol

Rte de Saint-Julien 185, 1228 Plan-les-Ouates";Bleifrei;01.05.2022;2,190 sFr;2,080 sFr
1671561870-39;https://www.benzin-preis.ch/suche?next=2603;"Agrola

Tösstalstr. 29, 8492 Wila";Bleifrei;16.07.2022;2,190 sFr;1,890 sFr
1671561873-40;https://www.benzin-preis.ch/suche?next=2602;"Shell

Mettstr. 33, 2503 Biel/Bienne";Bleifrei;11.03.2022;2,190 sFr;2,020 sFr
1671561876-41;https://www.benzin-preis.ch/suche?next=2601;"Socar

Orpundstr. 77, 2504 Biel/Bienne";Bleifrei;11.03.2022;2,190 sFr;2,020 sFr
1671561878-42;https://www.benzin-preis.ch/suche?next=2600;"Agrola TopShop

Hinwilerstrasse 92, 8620 Wetzikon ZH";Bleifrei;02.08.2022;2,190 sFr;1,920 sFr
1671561880-43;https://www.benzin-preis.ch/suche?next=2599;"Socar

Gotthardstr. 66, 6467 Schattdorf";Bleifrei;27.05.2022;2,190 sFr;1,950 sFr
1671561883-44;https://www.benzin-preis.ch/suche?next=2598;"Coop Pronto

Zürcherstr. 229, 8953 Dietikon";Bleifrei;27.05.2022;2,180 sFr;1,940 sFr
1671561886-45;https://www.benzin-preis.ch/suche?next=2597;"Migrol

Kantonstrasse, 3952 Susten";Bleifrei;04.07.2022;2,180 sFr;1,820 sFr
1671561888-46;https://www.benzin-preis.ch/suche?next=2596;"Shell

Überlandstrasse, 8104 Weiningen ZH";Bleifrei;27.05.2022;2,180 sFr;1,940 sFr
1671561891-47;https://www.benzin-preis.ch/suche?next=2595;"Mini Prix

av. Morges 3, 1027 Lonay";Bleifrei;02.08.2022;2,180 sFr;1,910 sFr
