web-scraper-order;web-scraper-start-url;Adresse;Art;Datum;Preis;Preis2
1671562663-17;https://www.benzin-preis.ch/suche-kanton?next=2639;"Alpina Tankstelle

Dorfstrasse 42, 7563 Samnaun Dorf";Diesel;21.09.2020;1,120 sFr;1,767 sFr
1671562666-18;https://www.benzin-preis.ch/suche-kanton?next=2638;"Eni

Rte d'Aigle 18, 1867 Ollon VD";Diesel;04.07.2022;2,450 sFr;2,187 sFr
1671562668-19;https://www.benzin-preis.ch/suche-kanton?next=2637;"Tamoil

Rte du Nant-d'Avril 36, 1214 Vernier";Diesel;15.06.2022;2,440 sFr;2,167 sFr
1671562670-20;https://www.benzin-preis.ch/suche-kanton?next=2636;"BP Service Weinland West

A4 Ausfahrt Andelfingen, 8452 Adlikon";Diesel;02.06.2022;2,439 sFr;2,266 sFr
1671562672-21;https://www.benzin-preis.ch/suche-kanton?next=2635;"BP Service Weinland Ost

A4 Ausfahrt Andelfingen, 8452 Adlikon";Diesel;02.06.2022;2,439 sFr;2,266 sFr
1671562674-22;https://www.benzin-preis.ch/suche-kanton?next=2634;"Shell

Wilerstrasse 219, 9230 Flawil";Diesel;23.06.2022;2,430 sFr;2,167 sFr
1671562676-23;https://www.benzin-preis.ch/suche-kanton?next=2633;"Shell Bavois

A9, 1372 Bavois";Diesel;14.07.2022;2,430 sFr;2,197 sFr
1671562678-24;https://www.benzin-preis.ch/suche-kanton?next=2632;"BP

Rue Nant d'Avril 90, 1217 Meyrin";Diesel;15.06.2022;2,430 sFr;2,157 sFr
1671562681-25;https://www.benzin-preis.ch/suche-kanton?next=2631;"Tamoil

Kleindorf, 3762 Erlenbach i. S.";Diesel;04.07.2022;2,420 sFr;2,157 sFr
1671562683-26;https://www.benzin-preis.ch/suche-kanton?next=2630;"Migrol

Rte du Nant-d'Avril 71, 1214 Vernier";Diesel;15.06.2022;2,420 sFr;2,147 sFr
1671562685-27;https://www.benzin-preis.ch/suche-kanton?next=2629;"BP Maloja

Reparaturwerkstatt, 7516 Maloja";Diesel;11.07.2022;2,420 sFr;2,187 sFr
1671562687-28;https://www.benzin-preis.ch/suche-kanton?next=2628;"Agrola

Bahnhofstr. 42, 8636 Wald ZH";Diesel;18.06.2022;2,420 sFr;2,360 sFr
1671562689-29;https://www.benzin-preis.ch/suche-kanton?next=2627;"Shell

Strada Prinzipiale 149a, 7605 Stampa";Diesel;11.07.2022;2,419 sFr;2,186 sFr
1671562691-30;https://www.benzin-preis.ch/suche-kanton?next=2626;"Tamoil

Hauptstr. , 7482 Bergün/Bravuogn";Diesel;11.07.2022;2,400 sFr;2,167 sFr
1671562693-31;https://www.benzin-preis.ch/suche-kanton?next=2625;"Coop Pronto

Wilerstrasse 228, 9230 Flawil";Diesel;23.06.2022;2,400 sFr;2,137 sFr
1671562695-32;https://www.benzin-preis.ch/suche-kanton?next=2624;"BP

Wilerstr. 247, 9230 Flawil";Diesel;23.06.2022;2,400 sFr;2,137 sFr
1671562698-33;https://www.benzin-preis.ch/suche-kanton?next=2623;"Agrola

Lehmgrueb 1331, 9240 Niederglatt SG";Diesel;06.07.2022;2,400 sFr;2,167 sFr
1671562700-34;https://www.benzin-preis.ch/suche-kanton?next=2622;"Socar Gotthard

A2 West, 6467 Schattdorf";Diesel;28.10.2022;2,395 sFr;2,255 sFr
1671562702-35;https://www.benzin-preis.ch/suche-kanton?next=2621;"BP

Querverbindung A13 2, 7430 Thusis";Diesel;11.07.2022;2,380 sFr;2,147 sFr
1671562704-36;https://www.benzin-preis.ch/suche-kanton?next=2620;"BP Rheintal

Autobahn A13, 9470 Buchs SG";Diesel;14.08.2022;2,380 sFr;2,177 sFr
1671562706-37;https://www.benzin-preis.ch/suche-kanton?next=2619;"BP

Landstr. 44, 9606 Bütschwil";Diesel;05.07.2022;2,380 sFr;2,117 sFr
1671562708-38;https://www.benzin-preis.ch/suche-kanton?next=2618;"Postauto Mark AG

Hauptstr. 1b, 7440 Andeer";Diesel;11.07.2022;2,380 sFr;2,147 sFr
1671562711-39;https://www.benzin-preis.ch/suche-kanton?next=2617;"Agrola

Gemeindeplatz, 8633 Wolfhausen";Diesel;11.06.2022;2,380 sFr;2,137 sFr
1671562712-40;https://www.benzin-preis.ch/suche-kanton?next=2616;"eni - Castasegna Ovest

Farzett, 7608 Castasegna";Diesel;11.07.2022;2,380 sFr;2,147 sFr
1671562715-41;https://www.benzin-preis.ch/suche-kanton?next=2615;"Muntanella

Via Chantunela 62B, 7513 Silvaplana";Diesel;11.07.2022;2,380 sFr;2,147 sFr
1671562716-42;https://www.benzin-preis.ch/suche-kanton?next=2614;"BP

Aarauerstr. 35, 5600 Lenzburg";Diesel;27.06.2022;2,380 sFr;2,117 sFr
1671562718-43;https://www.benzin-preis.ch/suche-kanton?next=2613;"Migrol

, 7083 Lantsch/Lenz";Diesel;11.07.2022;2,375 sFr;2,142 sFr
1671562721-44;https://www.benzin-preis.ch/suche-kanton?next=2612;"Socar

Voa Principala 26, 7078 Lenzerheide/Lai";Diesel;11.07.2022;2,375 sFr;2,142 sFr
1671562724-45;https://www.benzin-preis.ch/suche-kanton?next=2611;"Avia

Dorfstrasse, 3778 Schönried";Diesel;04.07.2022;2,370 sFr;2,107 sFr
1671562726-46;https://www.benzin-preis.ch/suche-kanton?next=2610;"BP

Grüningerstr. 80, 8624 Grüt (Gossau ZH)";Diesel;03.08.2022;2,370 sFr;2,137 sFr
1671562728-47;https://www.benzin-preis.ch/suche-kanton?next=2609;"Mini Prix

Av. de Mategnin 16, 1217 Meyrin";Diesel;28.05.2022;2,370 sFr;2,197 sFr
1671562731-48;https://www.benzin-preis.ch/suche-kanton?next=2608;"Avia

Oberschirmensee 8, 8714 Feldbach";Diesel;09.06.2022;2,370 sFr;2,127 sFr
1671562733-49;https://www.benzin-preis.ch/suche-kanton?next=2607;"Avia

Kölliken Süd / A1, 5742 Kölliken";Diesel;28.10.2022;2,370 sFr;2,230 sFr
1671562735-50;https://www.benzin-preis.ch/suche-kanton?next=2606;"Deitingen-Süd

Deitingen-Süd, 4543 Deitingen";Diesel;28.10.2022;2,369 sFr;2,229 sFr
1671562738-51;https://www.benzin-preis.ch/suche-kanton?next=2605;"Avia

Via Maistra 68 , 7504 Pontresina";Diesel;13.05.2022;2,360 sFr;2,217 sFr
1671562740-52;https://www.benzin-preis.ch/suche-kanton?next=2604;"Agrola

Wilerstr. 12, 9606 Bütschwil";Diesel;05.07.2022;2,360 sFr;2,097 sFr
1671562743-53;https://www.benzin-preis.ch/suche-kanton?next=2603;"Garage Gasparini

Veia Granda, 7440 Andeer";Diesel;11.07.2022;2,360 sFr;2,127 sFr
1671562745-54;https://www.benzin-preis.ch/suche-kanton?next=2602;"Agrola TopShop

Hinwilerstrasse 92, 8620 Wetzikon ZH";Diesel;02.08.2022;2,360 sFr;2,127 sFr
1671562747-55;https://www.benzin-preis.ch/suche-kanton?next=2601;"BP

Bern-Zürichstr. 55, 4900 Langenthal";Diesel;27.06.2022;2,360 sFr;2,097 sFr
1671562749-56;https://www.benzin-preis.ch/suche-kanton?next=2600;"Coop Pronto

Hinwilerstrasse 11, 8623 Wetzikon ZH";Diesel;16.07.2022;2,360 sFr;2,127 sFr
1671562751-57;https://www.benzin-preis.ch/suche-kanton?next=2599;"Avia

Seestr. 109, 8712 Stäfa";Diesel;09.06.2022;2,359 sFr;2,116 sFr
1671562753-58;https://www.benzin-preis.ch/suche-kanton?next=2598;"Garage Togra

Mettlenstr. 22, 8488 Turbenthal";Diesel;16.07.2022;2,359 sFr;2,126 sFr
1671562755-59;https://www.benzin-preis.ch/suche-kanton?next=2597;"Avia

Seestr. 137, 8708 Männedorf";Diesel;09.06.2022;2,359 sFr;2,116 sFr
1671562757-60;https://www.benzin-preis.ch/suche-kanton?next=2596;"AVIA-Tankstelle

Laubisrütistr. 72, 8713 Uerikon";Diesel;09.06.2022;2,359 sFr;2,116 sFr
1671562759-61;https://www.benzin-preis.ch/suche-kanton?next=2595;"OIL!

Mägenwilerstr. 8, 5504 Othmarsingen";Diesel;09.03.2022;2,350 sFr;2,157 sFr
1671562761-62;https://www.benzin-preis.ch/suche-kanton?next=2594;"Yvorne-Est

Les Bioleys, autoroute A9, Lausanne, 1853 Yvorne";Diesel;28.10.2022;2,350 sFr;2,210 sFr
1671562763-63;https://www.benzin-preis.ch/suche-kanton?next=2593;"Gomoil

Furkastrasse 64, 3999 Oberwald";Diesel;28.10.2022;2,350 sFr;2,210 sFr
1671562765-64;https://www.benzin-preis.ch/suche-kanton?next=2592;"Pasche & Co SA

av. de Morges 47, 1027 Lonay";Diesel;02.08.2022;2,350 sFr;2,117 sFr
1671562767-65;https://www.benzin-preis.ch/suche-kanton?next=2591;"Yvorne-Ouest

Les boileys, Aautoroute A9, 1853 Yvorne";Diesel;28.10.2022;2,350 sFr;2,210 sFr
1671562769-66;https://www.benzin-preis.ch/suche-kanton?next=2590;"Coop

Seestr. 931, 8706 Meilen";Diesel;09.06.2022;2,350 sFr;2,107 sFr
1671562771-67;https://www.benzin-preis.ch/suche-kanton?next=2589;"Deitingen-Nord

Deitingen-Nord, 4543 Deitingen";Diesel;28.10.2022;2,350 sFr;2,210 sFr
1671562773-68;https://www.benzin-preis.ch/suche-kanton?next=2588;"Agrola

Rütistr. 9, 8634 Hombrechtikon";Diesel;11.06.2022;2,350 sFr;2,107 sFr
