Adresse;Art;Datum;Preis;Preis2;price
"Alpina Tankstelle

Dorfstrasse 42, 7563 Samnaun Dorf";Bleifrei;21.09.2020;1,140 sFr;1,640 sFr;1
"Tamoil

Gsteigstr. 174, 3785 Gsteig b. Gstaad";Bleifrei;04.07.2022;2,230 sFr;1,870 sFr;2
"Agrola

Kantonsstr. 50, 3930 Eyholz";Bleifrei;04.07.2022;2,230 sFr;1,870 sFr;2
"Garage Blatter AG

Ennet Brücke 7, 3930 Visp";Bleifrei;04.07.2022;2,230 sFr;1,870 sFr;2
"Garage Gasparini

Veia Granda, 7440 Andeer";Bleifrei;11.07.2022;2,230 sFr;1,930 sFr;2
"Mini Prix

Av. de Mategnin 16, 1217 Meyrin";Bleifrei;28.05.2022;2,230 sFr;1,990 sFr;2
"BP

Tösstalstr. 111, 8493 Saland";Bleifrei;16.07.2022;2,230 sFr;1,930 sFr;2
"eni - Castasegna Ovest

Farzett, 7608 Castasegna";Bleifrei;11.07.2022;2,230 sFr;1,930 sFr;2
"Garage Togra

Mettlenstr. 22, 8488 Turbenthal";Bleifrei;16.07.2022;2,229 sFr;1,929 sFr;2
"Coop Pronto

Kantonsstr. 99, 3952 Susten";Bleifrei;04.07.2022;2,220 sFr;1,860 sFr;2
"BP

Grüningerstr. 80, 8624 Grüt (Gossau ZH)";Bleifrei;03.08.2022;2,220 sFr;1,950 sFr;2
"Agip

Kantonststr., 3930 Eyholz";Bleifrei;04.07.2022;2,220 sFr;1,860 sFr;2
"Socar Stampa

Strada Principale, 7605 Stampa";Bleifrei;11.07.2022;2,220 sFr;1,920 sFr;2
"Freie Tankstelle Avers

Beim Volg, 7447 Cresta (Avers)";Bleifrei;27.06.2022;2,220 sFr;1,860 sFr;2
"Obere Au Garage AG

Kalchbühlstr. 12, 7000 Chur";Bleifrei;18.07.2022;2,219 sFr;1,919 sFr;2
"Agrola

Simmentalstr., 3763 Därstetten";Bleifrei;04.07.2022;2,210 sFr;1,850 sFr;2
"Coop Pronto

Thunstrasse 18, 3770 Zweisimmen";Bleifrei;04.07.2022;2,210 sFr;1,850 sFr;2
