Datum,brand,addresse,diesel
21.09.2020,Alpina Tankstelle,"Dorfstrasse 42, 7563 Samnaun Dorf",1.12
04.07.2022,Eni,"Rte d'Aigle 18, 1867 Ollon VD",2.45
15.06.2022,Tamoil,"Rte du Nant-d'Avril 36, 1214 Vernier",2.44
02.06.2022,BP Service Weinland West,"A4 Ausfahrt Andelfingen, 8452 Adlikon",2.439
02.06.2022,BP Service Weinland Ost,"A4 Ausfahrt Andelfingen, 8452 Adlikon",2.439
23.06.2022,Shell,"Wilerstrasse 219, 9230 Flawil",2.43
14.07.2022,Shell Bavois,"A9, 1372 Bavois",2.43
15.06.2022,BP,"Rue Nant d'Avril 90, 1217 Meyrin",2.43
04.07.2022,Tamoil,"Kleindorf, 3762 Erlenbach i. S.",2.42
15.06.2022,Migrol,"Rte du Nant-d'Avril 71, 1214 Vernier",2.42
11.07.2022,BP Maloja,"Reparaturwerkstatt, 7516 Maloja",2.42
18.06.2022,Agrola,"Bahnhofstr. 42, 8636 Wald ZH",2.42
11.07.2022,Shell,"Strada Prinzipiale 149a, 7605 Stampa",2.419
11.07.2022,Tamoil,"Hauptstr. , 7482 Bergün/Bravuogn",2.4
23.06.2022,Coop Pronto,"Wilerstrasse 228, 9230 Flawil",2.4
23.06.2022,BP,"Wilerstr. 247, 9230 Flawil",2.4
06.07.2022,Agrola,"Lehmgrueb 1331, 9240 Niederglatt SG",2.4
28.10.2022,Socar Gotthard,"A2 West, 6467 Schattdorf",2.395
11.07.2022,BP,"Querverbindung A13 2, 7430 Thusis",2.38
14.08.2022,BP Rheintal,"Autobahn A13, 9470 Buchs SG",2.38
05.07.2022,BP,"Landstr. 44, 9606 Bütschwil",2.38
11.07.2022,Postauto Mark AG,"Hauptstr. 1b, 7440 Andeer",2.38
11.06.2022,Agrola,"Gemeindeplatz, 8633 Wolfhausen",2.38
11.07.2022,eni - Castasegna Ovest,"Farzett, 7608 Castasegna",2.38
11.07.2022,Muntanella,"Via Chantunela 62B, 7513 Silvaplana",2.38
27.06.2022,BP,"Aarauerstr. 35, 5600 Lenzburg",2.38
11.07.2022,Migrol,", 7083 Lantsch/Lenz",2.375
11.07.2022,Socar,"Voa Principala 26, 7078 Lenzerheide/Lai",2.375
04.07.2022,Avia,"Dorfstrasse, 3778 Schönried",2.37
03.08.2022,BP,"Grüningerstr. 80, 8624 Grüt (Gossau ZH)",2.37
28.05.2022,Mini Prix,"Av. de Mategnin 16, 1217 Meyrin",2.37
09.06.2022,Avia,"Oberschirmensee 8, 8714 Feldbach",2.37
28.10.2022,Avia,"Kölliken Süd / A1, 5742 Kölliken",2.37
28.10.2022,Deitingen-Süd,"Deitingen-Süd, 4543 Deitingen",2.369
13.05.2022,Avia,"Via Maistra 68 , 7504 Pontresina",2.36
05.07.2022,Agrola,"Wilerstr. 12, 9606 Bütschwil",2.36
11.07.2022,Garage Gasparini,"Veia Granda, 7440 Andeer",2.36
02.08.2022,Agrola TopShop,"Hinwilerstrasse 92, 8620 Wetzikon ZH",2.36
27.06.2022,BP,"Bern-Zürichstr. 55, 4900 Langenthal",2.36
16.07.2022,Coop Pronto,"Hinwilerstrasse 11, 8623 Wetzikon ZH",2.36
09.06.2022,Avia,"Seestr. 109, 8712 Stäfa",2.359
16.07.2022,Garage Togra,"Mettlenstr. 22, 8488 Turbenthal",2.359
09.06.2022,Avia,"Seestr. 137, 8708 Männedorf",2.359
09.06.2022,AVIA-Tankstelle,"Laubisrütistr. 72, 8713 Uerikon",2.359
09.03.2022,OIL!,"Mägenwilerstr. 8, 5504 Othmarsingen",2.35
28.10.2022,Yvorne-Est,"Les Bioleys, autoroute A9, Lausanne, 1853 Yvorne",2.35
28.10.2022,Gomoil,"Furkastrasse 64, 3999 Oberwald",2.35
02.08.2022,Pasche & Co SA,"av. de Morges 47, 1027 Lonay",2.35
28.10.2022,Yvorne-Ouest,"Les boileys, Aautoroute A9, 1853 Yvorne",2.35
09.06.2022,Coop,"Seestr. 931, 8706 Meilen",2.35
28.10.2022,Deitingen-Nord,"Deitingen-Nord, 4543 Deitingen",2.35
11.06.2022,Agrola,"Rütistr. 9, 8634 Hombrechtikon",2.35
09.06.2022,Socar,"Seestr. 1, 8712 Stäfa",2.35
27.06.2022,Freie Tankstelle Avers,"Beim Volg, 7447 Cresta (Avers)",2.35
22.08.2022,Shell,"Zürcherstr. 73, 8800 Thalwil",2.349
09.06.2022,Avia,"Etzelstr. 21, 8634 Hombrechtikon",2.349
16.07.2022,Agrola,"Hauptstr. 7, 8363 Bichelsee",2.345
16.07.2022,Agrola,"Bahnhofstr. 50, 8360 Eschlikon TG",2.345
09.08.2022,Welti,"Militärstrasse 12, 6467 Schattdorf",2.34
27.05.2022,Ruedi Rüssel,"Gotthardstr. , 6484 Wassen UR",2.34
09.08.2022,Migrol,"Daegerlohn , 6473 Silenen",2.34
18.07.2022,Migrol Service,"Ringstr, 20, 7000 Chur",2.34
16.08.2022,Eni,", 7074 Malix",2.34
16.07.2022,Migrol,"Winterthurerstr. 7 , 8360 Eschlikon TG",2.34
04.07.2022,Garage Blatter AG,"Ennet Brücke 7, 3930 Visp",2.34
25.11.2022,BP Autobahn-Center Glarnerland Ost,"Autobahnraststätte Ost A3, 8867 Niederurnen",2.34
04.07.2022,Garage Nufenen AG,"Nufenenstr. 2, 3988 Ulrichen",2.34
09.08.2022,Avia,"Dorfstr. 13, 6462 Seedorf UR",2.34
28.10.2022,Socar,"Kölliken Nord / A1, 5742 Kölliken",2.34
27.05.2022,Socar,"Gotthardstr. 66, 6467 Schattdorf",2.34
16.10.2022,Opel Krapf AG,"Buorcha, 7530 Zernez",2.33
14.08.2022,Coop,"Tramstr. 20, 9444 Diepoldsau",2.33
