Datum,brand,addresse,diesle,bleifrei,lat,lon
21.09.2020,Alpina Tankstelle,"Dorfstrasse 42, 7563 Samnaun Dorf",1.12,1.14,46.9431037902832,10.358742713928223
21.09.2020,Alpina Tankstelle,"Dorfstrasse 42, 7563 Samnaun Dorf",1.12,1.14,46.9431037902832,10.358742713928223
21.09.2020,Alpina Tankstelle,"Dorfstrasse 42, 7563 Samnaun Dorf",1.12,1.14,46.9431037902832,10.358742713928223
21.09.2020,Alpina Tankstelle,"Dorfstrasse 42, 7563 Samnaun Dorf",1.12,1.14,46.9431037902832,10.358742713928223
21.09.2020,Alpina Tankstelle,"Dorfstrasse 42, 7563 Samnaun Dorf",1.12,1.14,46.9431037902832,10.358742713928223
21.09.2020,Alpina Tankstelle,"Dorfstrasse 42, 7563 Samnaun Dorf",1.12,1.14,46.9431037902832,10.358742713928223
21.09.2020,Alpina Tankstelle,"Dorfstrasse 42, 7563 Samnaun Dorf",1.12,1.14,46.9431037902832,10.358742713928223
21.09.2020,Alpina Tankstelle,"Dorfstrasse 42, 7563 Samnaun Dorf",1.12,1.14,46.9431037902832,10.358742713928223
21.09.2020,Alpina Tankstelle,"Dorfstrasse 42, 7563 Samnaun Dorf",1.12,1.14,46.9431037902832,10.358742713928223
21.09.2020,Alpina Tankstelle,"Dorfstrasse 42, 7563 Samnaun Dorf",1.12,1.14,46.9431037902832,10.358742713928223
21.09.2020,Alpina Tankstelle,"Dorfstrasse 42, 7563 Samnaun Dorf",1.12,1.14,46.9431037902832,10.358742713928223
21.09.2020,Alpina Tankstelle,"Dorfstrasse 42, 7563 Samnaun Dorf",1.12,1.14,46.9431037902832,10.358742713928223
21.09.2020,Alpina Tankstelle,"Dorfstrasse 42, 7563 Samnaun Dorf",1.12,1.14,46.9431037902832,10.358742713928223
21.09.2020,Alpina Tankstelle,"Dorfstrasse 42, 7563 Samnaun Dorf",1.12,1.14,46.9431037902832,10.358742713928223
21.09.2020,Alpina Tankstelle,"Dorfstrasse 42, 7563 Samnaun Dorf",1.12,1.14,46.9431037902832,10.358742713928223
21.09.2020,Alpina Tankstelle,"Dorfstrasse 42, 7563 Samnaun Dorf",1.12,1.14,46.9431037902832,10.358742713928223
28.10.2022,Socar Gotthard,"A2 West, 6467 Schattdorf",2.395,2.035,,
14.08.2022,BP Rheintal,"Autobahn A13, 9470 Buchs SG",2.38,2.2,,
11.07.2022,eni - Castasegna Ovest,"Farzett, 7608 Castasegna",2.38,2.23,,
